question,engaging
have you set your eyes on an owl bird ?,1
would you like to pet this owl if you had the chance?,1
do you like owls and where do you go to see them?,1
is the lady growing the owl in a house?,1
where are these people that have the snowy owl?,1
what exactly are these people doing in on the mountains?,1
where did the man have a drink after climbing the mountain?,1
do you enjoy climbing up and down mountain?,1
are you enjoying with these snow and hills station?,1
"would you all climb over mountains, snow, and ice if you knew you could have the perfect drink at the end?",1
what kind of studies have you done in your lifetime?,1
where was the chemistry class located at? it looks very interesting?,1
what topic would you like to learn more about?,1
how many students are seriously interested in science?,1
are the pictures being taken from a classroom?,1
what area of the zoo is the workers at?,1
all the sea animals is safety or dangerous?,1
does bamboo need extra care to be grown around some space?,1
can you say your experience when you visited a zoo?,1
do penguins live at the south pole or the north pole?,1
would you and your family or friends love to go on a great vacation by the waterfront and see new interesting things?,1
what are some of your favorite memories with your siblings?,1
is experiencing the culture of your destination important on vacations?,1
did fishermen use nylon in their nets?,1
who is fishing? what do they do on the boat?,1
i wonder which baseball team won this particular game?,1
why does the brown shirt man look sad?,1
was this a major league baseball game or a minor league baseball game?,1
what may be the game played in the image ?,1
do you have a favorite baseball team that you support?,1
what types of costumes do you like on your dog?,1
"if you could own any breed of dog, which one would it be?",1
how to introduce your dog or puppy to the leash?,1
do these dogs in costumes brighten your day?,1
we had a great time at the park today who do you think looks best in their sweater?,1
what are some of your favorite pictures from your big day?,1
what is your favorite part of a wedding?,1
does anyone know what kind of flowers the bride has?,1
what was the last wedding that you attended?,1
"is this marriage hall , where is it?",1
who go for small picnic with dog?,1
what do you think the pinata was filled with?,1
why is the man holding the one child?,1
what is your favorite backyard game to play?,1
is this a family afternoon lunch outside?,1
what was your last year's halloween costume?,1
how is the best way to celebrate halloween this year with the new variants?,1
which country celebrates halloween? and why do they dress-up this way?,1
what is your costumes on halloween celebration?,1
do you like to take selfie or not?,1
what is happening here? are there a lot of people at the event?,1
what would you dress up as to meet with friends?,1
what do you think is being done on the phones?,1
"are you familiar with this non-profit college student organization ""reality changers"" and what their goal is?",1
have you ever been in charge of the camera for an event?,1
what would you like to do with this truck?,1
where is this person traveling and where were the photos taken?,1
do you think travel campers are better than ones that attach to a truck?,1
i wonder if he took any of the sheep home with him?,1
what about going on a camper road trip?,1
do you still read the newspaper or use your phone?,1
is that a black cat?,1
do you like to do crossword puzzles?,1
do you think there is beer in that mug?,1
what does the picnic table and greenery imply about the bar?,1
what is the likely name of the bridge in the fifth image?,1
which is the most magnificent suspended bride that you have ever seen?,1
do you like exploring new places and old buildings?,1
is that the bridge wonderful to evening view?,1
have guys ever tried to crave some stones into something beautifu?,1
have you ever visited the zoo like this before?,1
what are the people in image four likely looking at through the window?,1
how can i conquer my fear of deep water?,1
have you gone to these kinds of aquarium before?,1
what is swimming in water and what is its name?,1
does anyone know what kind of a race this is?,1
have you ever participated in a cycling race?,1
what was the ultimate prize for the bicycle race winner?,1
do you guys think it's still thrilling to watch live sports like this?,1
have you ever joined a bike race and won?,1
what are the two women doing in that army?,1
are the two men holding in their hands?,1
what is the special occasion? was the soldier given a promotion?,1
what kind of award or honor were you given at this event?,1
what would you like to do in the army?,1
what does choco require to do? what color is it?,1
what type of cake would you like to go eat?,1
what are you guys racing for and how long will it last?,1
where is the event that this race locate?,1
is there any kind of official service vehicle?,1
what sort of award or certificate could a soldier receive at a firehouse?,1
what is that guy hiding? what is nearby?,1
what was the last time you've been to the beach?,1
"have you ever seen the wall paintings, pictures, stickers and statues like this before?",1
what are your feelings towards graffiti on buildings?,1
what song are the performers singing at this party?,1
what large gathering are these people partaking in?,1
how prominent is wildlife preservation in the area you live?,1
why did people provide the warning board?,1
what is doing the red dressed kid in the vehicle?,1
why create for sale of people on drugs? why people divert our mind?,1
do you like to swim in lakes if you can't see the bottom?,1
where is your favorite place to camp or recreate outside?,1
how do you feel about this funeral?,1
do you think funerals should cost less money?,1
do you think we are lucky to have such clean resources in our country?,1
does this scenery looks calm and cool?,1
what types of food options were available for sale at the farmers market?,1
have you ever attended an event like this before and where?,1
do you think the changes will allocate the good things?,1
what lake is the woman exploring and is it deep?,1
do you like taking pictures of the night sky?,1
why does no one come into this nature?,1
have you ever been a volunteer ambulance worker?,1
what does the sign mean about the building?,1
do you think the price of food has gone up too much?,1
have you ever taken photos of the steps of a meal?,1
how do you feel the above picture of nature water fall?,1
how do you feel the activity of nature of water falls?,1
do you have tattoos and which one is your favorite?,1
tattoo is bed for our skin or not?,1
what type of place is this ?,1
does the rug light up where the people are standing with tattoos?,1
do you like to enjoy with the scenario?,1
how well do you network at business conventions?,1
have you ever tried truth or dare in a party before ?,1
when was the last time you were at a convention center and what was the event?,1
who was your favorite teacher when you was growing up?,1
what type of object are the men looking at on the table and why?,1
have you ever used walking aids before?,1
what is your favorite place to explore?,1
what city are these senior citizens touring at the moment?,1
did these tourists get taken for a ride?,1
do you dig the vibe of this place?,1
do you think mike and sally enjoyed watching the ice boat race?,1
have you visited this kind of place by boat?,1
did the ice feel safe enough to walk on it and to glide on it?,1
have you been to any river lately ?,1
is there a better winter activity than skating on a frozen lake?,1
have you attended any party with your whole family ?,1
what is the reason for this celebration?,1
do you know the name and the location of the bridge in the picture?,1
are you a fan of fireworks in the night time sky?,1
where the people gather together for a holiday or just a local event?,1
when last did you see a squirel ?,1
can you remember these kinds of scenario in your life?,1
which animals sit down in this snow?,1
does anyone know what type of birds are these?,1
would you rather be a bird or a squirrel?,1
what are these servicemen receiving these awards for?,1
what is the color of the certificate presented?,1
how womens worked in us army ?,1
do you have any relatives that have served in the armed forces?,1
why isn't the person showing happiness on their faces while fixing the stars on the shoulders of the new graduate officers?,1
what was the last formal dance you went to?,1
what was the most ridiculous thing you've ever seen someone wear to a wedding?,1
where was this place suitated ? is this place is for photoshoot ?,1
what color suit is the groom wearing in the photo?,1
do you think watching the sunrise or sunset is romantic?,1
what do you think about costume parties?,1
what color is the camera the lady is using?,1
which person has the best costume on?,1
in which event the people get ready?,1
what would you dress up as for halloween?,1
have you ever seen these gingerbread dolls?,1
what would you cook for your guests at a party?,1
why was everyone drinking? was there something to celebrate?,1
why is the guy holding up his middle finger?,1
are you a home or a bar drinker?,1
"do we think this is a one-off special circumstance, or that this fan has court-side seats all year long? why, or why not?",1
how to gain the game and perform?,1
howmany cars waiting in the fraffic road how time?,1
what is everyone's favorite basketball team and city?,1
what would you like to watch in a sport?,1
what college did you graduate from and what was you major ?,1
does anyone know what school this is that is graduating?,1
where was the last graduation ceremony you attended held?,1
what was the most memorable thing about your graduation?,1
do you think cap and gowns should be free when graduating?,1
when was the last time you all have gone on carnival?,1
when was your last visit to an amusement park?,1
what's the best amusement park to go to in the fall?,1
can someone tell me what kind of a ride that is?,1
what would you like to go eat at a fair?,1
how many trees are shown  in picture?,1
are public events held often at colleges?,1
how often do you attend civil get togethers are u interested in going to city gatherings where they discuss local matter?,1
have you ever participated in these type of event in your lifetime?,1
have you ever asked the question in meeting?,1
what is this shape of? it looks like maybe a state or a logo but what do you think this boy is trying to create?,1
how long did the take him to make?,1
what is the particular kind of art this man creating?,1
do you like the way the final output turned out to b?,1
what types of designs have you ever made before?,1
how many trips and places do you see?,1
have you ever gotten together with your neighbors at an event?,1
have you ever participated in a marathon?,1
how many boys playing music do you see?,1
do you prefer indoor or outdoor weddings?,1
what would you like to drink at a wedding?,1
why do these women have a mic in their hand?,1
"which outfit would you wear to your own concert, black or yellow?",1
do you like in elders and stay with us?,1
why were these ladies thinking so seriously?,1
what is the best event you attended with the people you love?,1
how much per hour is the wait staff and valet staff paid?,1
is there any toy with the kid parent?,1
why do these children like to go to this themepark?,1
how often do you take public transportation?,1
do you ever utilize public transportation options?,1
is there have any grass in front of the building?,1
have you ever wanted to have artwork painting on your home?,1
isn't this golden sunrise beautiful and reflects well on the landscape?,1
what do you say to a beautiful sunset?,1
what types of dessert do you enjoy eating?,1
what are the ingredients to make a delicious custard?,1
how many events do you try to attend each month?,1
are you old enough to have a drink where you live?,1
do you like to go to parades that remind you of your youth?,1
what type of parade do you think this is?,1
have you visited this place before and where?,1
what would you like to do in this city?,1
what is doing the kids with the cards?,1
how do you feel about these enjoyments?,1
can you guess who loves him more?,1
when was the youngest member of your family born?,1
how many months old is this baby?,1
do you remember your first every birthday party?,1
how much time did the grandparents get to spend with the newborn baby?,1
what ride would you like to go on at the beach?,1
have you ever taken your kids to play ground?,1
are you brave enough to ride the giant dipper?,1
what state would you guess this amusement park is in and does this look like it might be the boardwalk?,1
do you recognize this amusement park and know where it is located?,1
have you ever attended a godiva festival before ?,1
where has the godiva festival been happened?,1
what is the saying about riding a bicycle?,1
who would you bring to a parade to watch?,1
what is the story behind the godiva festival? who are the participants?,1
have you been to any occasion recently ?,1
why is this parade even happening in the first place?,1
do you ever attend this kind of functions in your lifetime?,1
what city would you like to go live in?,1
do you like marching band outfits or do you think they are tacky?,1
why did you go on such a long bike ride? was it a fundraiser or a race?,1
i wonder what the event was where all of these bikers where on the road together?,1
how many miles did the bike riders go during this journey?,1
did the charity bike ride raise enough money to meet their goals?,1
have you been to any race competition lately?,1
how many people do you think were at the event in these images?,1
have you ever participated in a protest of any kind?,1
in which year was the world's first marathon invented?,1
have you been to any festival of recent ?,1
can you guess the event and place ?,1
what is the most unique thing that you would want in your house?,1
would we be surprised to learn that one of the dwellers here made that desk? why?,1
have you seen a stuff on the floor recently ?,1
does this young man collect posters and books?,1
does storing books in wooden furniture make them vulnerable?,1
who are the unlucky people to miss out this happy moment?,1
have you ever worn cat ears at your church before?,1
why are all of the people singing and where are they at?,1
when last did you go to a church ?,1
can you guess what is happening in the church service?,1
would you rather have a sandwich or some dessert right now?,1
when last did you to an eatery to have nice meal ?,1
where is the bakery shop?,1
do you have a week day morning routine?,1
"what's your favorite small part of the day; brushing your teeth, tightening your boot laces, or having a tasty lunch?",1
i would ask: what is your favorite type of building?,1
where exactly are all these properties located?,1
"which style home do you prefer, classical or modern?",1
do you like vintage cars to drive and view?,1
what is the model of the car?,1
"i wonder why in the above images, these people are playing sports?",1
whose jerseys are the children playing baseball wearing?,1
have you ever participated in any games event like this?,1
what was your favorite sport to play as a kid?,1
who would you cheer for on sports day?,1
how old do you think the bride and the groom are?,1
will this be the love that lasts a lifetime?,1
are the wedding couples dancing very well?,1
did you have a dance after your wedding?,1
what would you do at this party?,1
i wonder where exactly these people are in the pictures above?,1
what instrument does the man play there ?,1
why are only two person seen on the river side?,1
have you ever lived on the water?,1
is there anything better than vacationing with your partner?,1
would it seem likely that some are having a much better time here than others?,1
what is the group of individuals laughing about?,1
how was your day and did you enjoy well?,1
which party celebrate the family members and what?,1
who would you like to invite to this party?,1
what would you like to do at this event?,1
"who rides bikes competitively, and if so, what discipline?",1
have you participated in these kinds of sports event?,1
i wonder what the full reward for winning this is?,1
have you ever seen the cycle ride?,1
what friends would you bring to eat and drink?,1
are you enjoying people enjoying the food festival?,1
what's the optimal number of friends for a sleepover?,1
did you ever play at the dinner table growing up?,1
what's the best kind of rolls to make at home?,1
about how much snow did this city get?,1
where is the vehicle going is it getting dark? is the person going for a walk on a sunny day?,1
have you had practice driving in snow?,1
do you wear sunglasses when you leave the house?,1
have you ever worn sunglasses in the winter when it is snowing to cut down on the glare of snow when driving?,1
the frog is sitting here and what color is it?,1
what would you like to do in this forest?,1
why are these two kids leaning over the stone?,1
have you ever gone to the forest area before and where?,1
what type of frog is in the last image?,1
have you ever been to italy and maybe venice?,1
how often do you eat fast food?,1
do you think adults should dress up in costume for certain holidays?,1
why do you think the person in the fifth image is dressed like the joker?,1
are there many sweets and delicious foods available?,1
do you think colored lights give things a nice effect?,1
what light would you like to see this fountain do?,1
is this building a hotel or tourist location?,1
which hotel and resort were these pictures taken in front of?,1
what's the most impressive fountain you've visited?,1
what’s your favorite type of drink for a garden party?,1
do you have any idea to the family get together?,1
what type of event do you think is taking place here?,1
can anyone tell me what the purple flowers are called?,1
is there any more of a special occasion that would be perfect for this beautiful estate?,1
what is the highest elevation you've ever been at?,1
have you guys gone to a places like this with your friend?,1
have you ever been to the colorado mountains?,1
"how often do you go hiking if at all, would you rather go alone or with a group?",1
have you ever been to the top of the mountain before?,1
did you know facts about ice cream?,1
how many cakes do you see in the image?,1
is the girls are dancing infront of a room?,1
what are five words you would use to describe yourself?,1
what room are all of the people talking in?,1
is there any our flag beside of the woman?,1
why do these people like to join this dinner party?,1
why do all these people like to attend this type of party?,1
what is your favorite country to visit?,1
which animals are there for the ride ?,1
how do you feel about the natural place? do you like it?,1
what is your favorite thing in a park to take photos of?,1
have you enjoyed with your friends like this?,1
how many people are there in this party?,1
what do you caption a scenery picture?,1
why do these people like to play these games?,1
do you have any experience building or designing a home?,1
what is the most interesting house you've ever visited?,1
how many people do you see there?,1
were those photos of you two looking up taken with a drone flying above you?,1
would you ever take a hike in the mountainous woods by yourself?,1
what kind of flower is the bud that is in the picture?,1
why does someone blow out the candle on the cake in the office?,1
what did the man get for his birthday?,1
what would you like to do in the beach?,1
have you remembered your enjoyment with friends?,1
what is your favorite movie of all time?,1
have you ever designed a poster for school or work?,1
why do these people like to take this photoshoot?,1
do you think professional photos are a waste of money?,1
what do you think about fireworks do you enjoy them?,1
are the lights or the sunset prettier to look at?,1
why do these people like to go surfing?,1
what is someone doing on the ocean wave?,1
why do some people sit in a circle and talk to each other?,1
what kind of conference is this event?,1
what types of thinks do you think would be around abondon buildings?,1
have you ever been to see goats?,1
did that casserole include any meats or pasta as a part of it?,1
what's your favorite meal to bake in the oven?,1
where was the best street band performance you've ever seen?,1
what is this farmers market called and where is it located?,1
what is the worst car accident you've ever seen?,1
are you taking precautions to drive as safe as possible?,1
how old do you think the boy in these photos is?,1
is the boy going to share the cake with his brother?,1
what in the world is this six sleeve top for?,1
which of the clothes from this wardrobe would you pick to wear?,1
what do you think this event is about?,1
have you ever gone to a big meeting that you found enjoyable?,1
how the area like white in color?,1
do you like to see balloons outdoors where they could fly away?,1
where is this place with the castle located?,1
where do you think this town is at?,1
what would you want to buy your kids for christmas?,1
can you tell me the brand this bicycle is?,1
what kind of bicycle did the child receive?,1
what's the best christmas gift you have received in the past?,1
are the kids opening these presents up close to christmas?,1
have you been to a river recently ?,1
what did you most enjoy during the visit to the park?,1
have you visited this kind of place in your lifetime?,1
where exactly are these pictures being taken?,1
what fish would you want to have in your pond?,1
are their both men and women singing at this karaoke?,1
have you been to any gathered place before ?,1
did i see you at sarah's wedding reception and rehearsal dinner?,1
i wondwr whatv actually goes on in a place like the one above in the photos?,1
what bar has karaoke around here? i love karaoke?,1
what is the name of the person who was most celebrated the day of this event?,1
have you ever participated in any car race ?,1
where is this dirt track raceway located at?,1
where is this race track located at?,1
what color is the truck in the second image?,1
do you know what these people are making?,1
what instrument would you like to learn how to build?,1
how long does it take a single cloth to be handwoven?,1
have you seen anybody weaving before ?,1
i wonder what the thread in the pictures is for?,1
what do you think this woman is getting all dolled up? and how old does she appear to be?,1
what is the reason for dressing up?,1
what part of india is the attire that the bride is wearing from?,1
have you seen a beautiful bride recently?,1
is the lady who is being pampered someone who is famous?,1
what is the first dish you go for at any party?,1
what do you like to eat with cocktails?,1
what were they celebrating at this get together?,1
what is your favorite dessert to have at a party?,1
have you been to any restaurant of recent ?,1
have you ever visited these kind of places?,1
have you ever seen an eagle in person?,1
what type of bird is it that the man is holding?,1
what would you like to do in this castle?,1
would you ever want to be a falconer?,1
what is the amount to be make a area like this?,1
what would you like to do on the beach?,1
what was the best beach that you ever been too ?,1
are you able to get out and watch the sunset?,1
what is the best beach that you’ve ever been to?,1
why does the person hide next to the wall?,1
does anyone know what state this university is in?,1
do you usually take pictures while on vacation?,1
what kind of emotion does he display visiting the baylor bears sites?,1
what would you like to study at this college?,1
do we think the documentary-maker brought the flowers? would that make her more seem more likely a genealogy buff or a historian?,1
does anyone know what cemetery this is at?,1
have you ever visited a historical cemetery?,1
do you think grave stones should cost as much as they do?,1
is this a grave made for members of the same family are buried together?,1
did the people in the abiove meeting order lunch?,1
who among the employees missed the cake?,1
what is the colour of the cake?,1
has anyone celebrated your birthday at office with your parents beside yo?,1
what is the best thing your job has done for your birthday?,1
do you like the way the light changes the way the landmarks look at night?,1
"how often do you travel out late night on foot, when you do go out late is it by yourself or with others?",1
which is the biggest statue in your city?,1
what is the name of the large building that is lit up with lights?,1
does anyone know the place where these are fro?,1
how do you feel about the activities of the road of enjoyment activities?,1
when was the last parade that you have gone to?,1
do you like to attend any music concert?,1
why do these people like to join this music program?,1
what is your favorite thing to bake?,1
would searing a steak seal juices in it?,1
why do these people like to live in this way?,1
when was your first easter egg hunt?,1
why do these people like to join this office meeting?,1
what did the training consist of for these workers?,1
i have no way of knowing but do you think para military groups like boy scouts and rotc have any real value?,1
do you know anyone currently serving in the army?,1
do you think its hard to sell a used car these days?,1
how do you feel about the man's power driving?,1
do you still see the usefulness of the railroad system?,1
have you ever taken photos by a train?,1
what are your favorite hot dog toppings?,1
do you have a food stand you always wanted to try?,1
do your kids love inflatable pools in the summer?,1
how hot was the weather that day that they decided to have the pool out?,1
what will they do with the cow cart?,1
what is the last historic site you've visited?,1
how many temples do you see there?,1
why did the tourist choose this place to visit?,1
do you go trick or treating on hallowen?,1
were the candles inside and outside the home during the party event?,1
did you do any shopping at street markets while in the city?,1
what was the name of the city with chinatown?,1
do you think performance tickets should all be the same price?,1
what was the most interesting act from the entire circus show?,1
do you have any idea what city this church would be located in?,1
is that any park is specalized for senior citizens?,1
do theme parks give any special refreshing mood?,1
what would you like to eat at dinner tonight?,1
what country is the town located in?,1
what did you family do when you had had the change to explor?,1
do you go camping and which campgrounds do you like?,1
what are some of your favorite camping memories?,1
where is the place to visit picnic spot?,1
what would you bring to your camping tent?,1
do you participate in the speech comprehension?,1
do you participate in the photoshoots with your loved one?,1
have you been chosen to sing in a party ?,1
what would you like to drink at a bar?,1
how many performers did the show have?,1
do you like going to large events where you need a microphone to hear?,1
is the music as fun and diverse as the musicians appear to be?,1
what kind of music do you want to learn more about?,1
have you played guitar for a while ?,1
what type of music would you least expect to hear with these instruments?,1
why has this statue been repainted so many times?,1
"we had a great day walking around and finding all the different elephants, where is your favorite place to go to see art?",1
have you seen any colorful image of elephant?,1
i wonder why this city is so focused on elephants?,1
would you like to see this parade?,1
what kind of picnics do you like to have?,1
can you share these kinds of experience with your family members?,1
how to spend a nice saturday afternoon with the family?,1
what are doing men's and women doing infront of the par?,1
do you participate in the party with family and friends?,1
what would you like to do in your own wedding?,1
why would floodlights be totally inappropriate for this fountain?,1
what comes first to your mind after seeing this kind of images?,1
where would you want your wedding to be?,1
where is the wedding taking place that is near a statue outdoors?,1
did you spend time with your friends in the camp fire?,1
why don't some people join to the other?,1
are these people making a fire because it was cold outside?,1
why is the cat sitting on the top of the roof ?,1
what is the reason behind this rural ritual?,1
is the photo scenario so beautiful?,1
do you like to go bird watching?,1
"i wonder what was the significants of these pictures above, or where they random?",1
which bird would you most like to be a pet?,1
why does the painting look like a colorless picture?,1
have you ever had to give a speech at a wedding and were you nervous?,1
what kind of steps lead up to your dream wedding venue?,1
is the man in the last photo above the best man?,1
"how is the wedding going on, is it good ?",1
have you attended the marriage party like this?,1
i wonder if any of the people above of related in any way?,1
what is your favorite drink when you catch up with friends at a local pub?,1
what beer would you drink at a party?,1
do you use a blanket when you watch tv?,1
what are they doing in that place to have fun?,1
what kind of music would you bring to the table if you had the chance?,1
do you prefer dj or actual live bands?,1
what is the location of sequenced photos?,1
what king of music playing in the open place?,1
what songs would you like to hear play?,1
why did they put a skeleton on the roof?,1
"wow. this must be super scary at night, what’s it like when it’s dark outside?",1
doesn't the place makes you scary and tired?,1
how far do you usually go with decorations for holidays?,1
was anyone scared by the skeleton above the window?,1
why are the two men looking at the glasses?,1
"is this outdoor wedding near a lake, beach, or river?",1
what is the wedding date and is this the love marriage?,1
would you want to get married on the water?,1
does the boat pic or the mirror pic qualify as the more romantic of the couple pics?,1
are all the train engines working good?,1
in what era of railroad was that steam engine made?,1
what do you miss the most from the old days?,1
is that the train standing in the railway station?,1
have you seen these kinds of vintage trains?,1
"i love halloween so even just giving out treats i try to dress a little bit, do yo?",1
what is the best halloween costume you ever saw?,1
what is your favorite kind of candy?,1
is that couple awesome and beautiful?,1
how many of you got full bars with the kids last night?,1
"what might ""fight palestine"" imply about the artist who painted the graffiti in the fifth image?",1
what do the people hope to accomplish with the riot?,1
who is the lady in the black stencil art?,1
what is on the board and the sticke?,1
what's everyone's opinion of graffiti and street art?,1
why keep cardboard packaging in this room?,1
is that baloon artificial or original?,1
now taking bets do you think it's a girl or boy?,1
what are the peoples are doing an outside the roa?,1
was anyone disappointed that the new baby isn't a girl?,1
would you guess this is possibly a wedding? and other than the clothing what else shows its not a weedin?,1
who do you hang out in this city?,1
what would you like to go buy in these shops?,1
has anyone offered free food to people on streets?,1
what store would you like to see in this city?,1
what are you thinking about these type of events?,1
what types of conference do you like to go too?,1
do you prefer to be in a city or a smaller town?,1
what would you like to drink at this bar?,1
what is the best caption for smile?,1
do you get dressed up when going to someones house?,1
what would you like to drink at this bar?,1
what event are these young women celebrating?,1
have you ever attended this type of night party?,1
have you ever attended the event like this before and where?,1
why are all people lastly coming to this place?,1
how many stones are there in the dead place?,1
do you like these images? why do/don't you like them?,1
what do women all do? what's do funny?,1
have you ever organized a children's party?,1
what kind of painting prep do you do?,1
what was the longest guests have waited for a bride to arrive at a wedding ceremony?,1
why do these people like to attend this marriage function?,1
are these people participating in a work from home project?,1
have you ever worked from someone else's home?,1
have you ever bought and lit fireworks yourself?,1
why do they have crackers like black cat and god father?,1
how do you feel about this nature?,1
do you think backyard weddings can be just as elegant?,1
what would you like to go see in this place?,1
does your family have specific plots assigned at cemetery?,1
do you enjoy listening to organ music?,1
where would you like to take your kids this weekend?,1
what are these young people building in the forest?,1
where was the mountain range people were hiking in?,1
have you ever been on a caribbean cruise?,1
who will play the other characters on gilligan's island?,1
is the couple presented from the inside of the ship?,1
who else wants to go on a catamaran trip?,1
do you enjoying going out on a boat?,1
do you think that this was a very large amusement park?,1
what was the last time you ran in a race?,1
what would you wear if you went on a big run?,1
what do you think the girl with the face paint of a pink heart is eating?,1
what is the event called where the large crowd is walking around outside and a tent is nearby?,1
"i would ask: do you like to enjoy calm days like this at the waterfront (beach, river, lake, etc.)?",1
i wonder what the purpose of this picture surface above was?,1
have you been to the beach recently ?,1
do you think the man will pick up the starfish?,1
have you ever caught your own seafood?,1
do you like to visit an outdoor carnival?,1
what kind of music is this street band playing?,1
have you seen children performing on stage of recent ?,1
why does the kid looking somewhere on the drum performance?,1
"it looks like the festival is in the summer time, do know what month it was in?",1
does the place look amazing and where is it located?,1
what kind of house is being shown in the images?,1
is the lady watch a ghost movie?,1
"i love old photos, do you know what year they were taken?",1
what would you like to put in your new home?,1
by the pictures how the area specified for cloth making?,1
what do you think these large wheels are for?,1
what types of cities do you enjoy going too?,1
would the blue yarn look good as a shawl?,1
what is the name of yarn making machine?,1
what are your feelings about graffiti in cities?,1
where are those people at and what are they doing?,1
have you had these kinds of experience with your friends?,1
are these graffiti-festooned poles an example of street art?,1
are the skater and biker riding at the building with graffiti?,1
is the trip on a holiday or vacation?,1
what type of pizza is your best to eat?,1
can you name the three pizzas and what is on each one?,1
do the postcards have images of the old wooden bridge and the famous ice cream shop?,1
what ingredients are on these large pizzas?,1
hve you ever gone on a group tour?,1
have you ever explored a city by boat?,1
what city would you like to go see and explore?,1
have you ever visited the place like this in your lifetime?,1
i wonder what city is being show in the photos above?,1
is there the mountain sorrounding the village?,1
why do you think the photographer took a photo off the items in the third image?,1
do you think those cannons on the hill still work?,1
do you own a traditional camera for snapshots?,1
do photographers dedicate lots of hours trying to capture pictures of a scenery?,1
what are some themes for a baby shower?,1
how many stuffed animals did the new baby receive?,1
do you think the presents are only for the baby?,1
have you ever attended a baby shower?,1
"for those with babies, how was the feeling while welcoming a baby?",1
